school,admarea,district,ege_good,ege_bad,oge_score
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2001»,Южный административный округ,район Бирюлёво Западное,23,45,65
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 998»,Южный административный округ,район Братеево,3,17,50
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1569 «Созвездие»,Южный административный округ,район Зябликово,67,133,186
Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»,Южный административный округ,район Москворечье-Сабурово,240,317,248
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 507»,Южный административный округ,район Нагатино-Садовники,34,75,96
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 878»,Южный административный округ,район Орехово-Борисово Северное,24,70,118
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1636 «НИКА»,Южный административный округ,район Орехово-Борисово Южное,48,93,135
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 949»,Южный административный округ,район Орехово-Борисово Южное,16,46,59
Негосударственное общеобразовательное частное учреждение «Православный центр непрерывного образования во имя преподобного Серафима Саровского»,Южный административный округ,район Орехово-Борисово Южное,8,11,16
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1179»,Южный административный округ,район Чертаново Северное,10,34,65
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 851»,Южный административный округ,район Чертаново Северное,14,53,62
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1526 на Покровской»,Южный административный округ,район Чертаново Южное,37,46,57
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 932»,Южный административный округ,район Чертаново Южное,8,23,20
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 362»,Восточный административный округ,район Богородское,4,11,8
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1021»,Восточный административный округ,район Восточный,14,34,47
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2026»,Восточный административный округ,район Косино-Ухтомский,45,106,143
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1310»,Восточный административный округ,район Новогиреево,42,68,66
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1925»,Восточный административный округ,район Новокосино,16,38,62
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2128 «Энергия»,Восточный административный округ,район Новокосино,7,39,52
Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 30 имени К.А. Микаэльяна»,Восточный административный округ,район Сокольники,0,0,0
Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Образование плюс...I»,Западный административный округ,район Очаково-Матвеевское,2,10,22
Общеобразовательная автономная некоммерческая организация «Средняя общеобразовательная школа «ИНТЕК»,Западный административный округ,район Фили-Давыдково,9,12,16
Общеобразовательная автономная некоммерческая организация «Школа святителя Филарета Московского»,Зеленоградский административный округ,район Крюково,0,1,7
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 852»,Зеленоградский административный округ,район Силино,14,31,29
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Бескудниково»,Северный административный округ,Бескудниковский район,24,55,81
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 771»,Северный административный округ,Дмитровский район,29,55,79
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1164»,Северный административный округ,Савёловский район,11,32,47
Частное учреждение общеобразовательная организация «Петровская школа»,Северный административный округ,Савёловский район,5,13,13
Общеобразовательное частное учреждение средняя общеобразовательная школа «Потенциал»,Северо-Восточный административный округ,Алексеевский район,2,5,8
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 305»,Северо-Восточный административный округ,Алтуфьевский район,11,31,62
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 281»,Северо-Восточный административный округ,Бабушкинский район,9,38,50
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1413»,Северо-Восточный административный округ,район Бибирево,25,77,118
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1236 имени С.В. Милашенкова»,Северо-Восточный административный округ,Бутырский район,52,117,167
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 283»,Северо-Восточный административный округ,район Северное Медведково,31,80,120
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2097»,Северо-Западный административный округ,район Южное Тушино,56,113,159
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2122»,Новомосковский административный округ,поселение Щербинка,2,12,33
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1468»,Центральный административный округ,Таганский район,33,113,121
Общеобразовательное частное учреждение «Православная Свято-Петровская школа»,Центральный административный округ,Таганский район,18,24,31
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 91»,Центральный административный округ,Тверской район,14,23,19
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1360»,Восточный административный округ,район Богородское,42,69,86
Некоммерческая организация Частное учреждение средняя общеобразовательная школа «Ретро»,Восточный административный округ,район Богородское,3,6,6
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 810»,Восточный административный округ,район Вешняки,9,29,45
Частное учреждение общеобразовательная организация «Московская интернациональная школа «Планета»,Восточный административный округ,район Вешняки,0,3,6
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1502 при МЭИ»,Восточный административный округ,район Ивановское,256,362,399
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1504»,Восточный административный округ,район Ивановское,32,74,130
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 887»,Западный административный округ,район Кунцево,46,97,152
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1018»,Западный административный округ,район Ново-Переделкино,35,46,61
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 323»,Западный административный округ,район Проспект Вернадского,21,39,40
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 324 «Жар-птица»,Западный административный округ,район Проспект Вернадского,38,64,47
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 74»,Западный административный округ,район Раменки,1,5,17
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1002»,Западный административный округ,район Солнцево,23,77,130
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Тропарево»,Западный административный округ,район Тропарёво-Никулино,26,52,60
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1589»,Западный административный округ,район Фили-Давыдково,30,40,24
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2101 «Филёвский образовательный центр»,Западный административный округ,район Фили-Давыдково,33,76,95
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1296»,Северный административный округ,район Восточное Дегунино,34,56,78
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 222»,Северный административный округ,район Восточное Дегунино,16,55,72
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1315»,Северный административный округ,Головинский район,34,73,99
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1631 имени Героя Советского Союза В.П. Кислякова»,Северный административный округ,Дмитровский район,8,51,88
"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой»",Северный административный округ,район Коптево,28,65,108
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1590 имени Героя Советского Союза В.В. Колесника»,Северный административный округ,район Ховрино,36,74,42
Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский экономический университет имени Г.В. Плеханова»,Северный административный округ,район Ховрино,61,73,41
Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1220»,Северо-Восточный административный округ,Останкинский район,14,53,67
Частное общеобразовательное учреждение «Венда»,Северо-Восточный административный округ,Останкинский район,11,13,14
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1298 «Профиль Куркино»,Северо-Западный административный округ,район Куркино,40,63,83
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1387»,Северо-Западный административный округ,район Куркино,36,64,122
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1538»,Северо-Западный административный округ,район Митино,68,135,246
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1191»,Северо-Западный административный округ,район Митино,22,77,95
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1874»,Северо-Западный административный округ,район Щукино,32,77,103
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 345 имени А.С. Пушкина»,Центральный административный округ,Басманный район,12,37,72
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1525»,Центральный административный округ,Красносельский район,67,102,87
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 390 имени генерала П.И. Батова»,Восточный административный округ,район Богородское,8,20,33
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1352»,Восточный административный округ,район Гольяново,56,101,149
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1795 «Лосиноостровская»,Восточный административный округ,район Метрогородок,11,52,48
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 399»,Восточный административный округ,район Северное Измайлово,2,14,32
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 67»,Западный административный округ,район Дорогомилово,92,101,154
Общеобразовательное частное учреждение «Гимназия во имя апостола и евангелиста Иоанна Богослова»,Западный административный округ,район Кунцево,5,8,9
Частное учреждение средняя общеобразовательная школа «Олимп-Плюс»,Западный административный округ,район Кунцево,3,5,10
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 875»,Западный административный округ,район Тропарёво-Никулино,25,60,69
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 2 (колледж)» Департамента спорта и туризма города Москвы,Западный административный округ,район Фили-Давыдково,1,13,27
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1194»,Зеленоградский административный округ,район Крюково,44,110,114
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 618»,Зеленоградский административный округ,район Матушкино,30,74,79
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 609»,Зеленоградский административный округ,район Савёлки,8,27,65
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 718»,Зеленоградский административный округ,район Силино,15,47,56
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 152»,Северный административный округ,район Аэропорт,43,91,109
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический колледж им. Н.Н. Годовикова»,Северный административный округ,Войковский район,7,20,20
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1251 имени генерала Шарля де Голля»,Северный административный округ,район Сокол,49,86,98
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1415»,Северо-Восточный административный округ,Останкинский район,24,37,44
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1411»,Северо-Восточный административный округ,район Отрадное,60,122,161
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1554»,Северо-Восточный административный округ,район Отрадное,80,167,193
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 962»,Северо-Восточный административный округ,район Отрадное,91,169,226
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1482»,Северо-Восточный административный округ,район Южное Медведково,14,29,52
Некоммерческое общеобразовательное частное учреждение «Школа «Разум-Л»,Северо-Восточный административный округ,район Южное Медведково,2,5,7
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1358»,Северо-Западный административный округ,район Митино,46,89,146
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 705»,Северо-Западный административный округ,район Строгино,25,55,50
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж полиции»,Северо-Западный административный округ,район Южное Тушино,0,6,13
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1392 имени Д.В. Рябинкина»,Новомосковский административный округ,поселение Десеновское,25,90,114
Автономная некоммерческая организация «Православная общеобразовательная школа-пансион «Плесково»,Троицкий административный округ,поселение Михайлово-Ярцевское,6,10,10
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1247 имени Юргиса Балтрушайтиса»,Центральный административный округ,Басманный район,17,34,13
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 368 «Лосиный остров»,Восточный административный округ,район Гольяново,17,29,39
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1798 «Феникс»,Восточный административный округ,район Новогиреево,12,40,53
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2200»,Восточный административный округ,район Северное Измайлово,27,51,81
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 446»,Восточный административный округ,район Соколиная Гора,5,26,19
Негосударственное образовательное частное учреждение средняя общеобразовательная школа «ЮДЖИН-ЦЕНТР»,Западный административный округ,район Проспект Вернадского,11,13,11
Негосударственное образовательное учреждение частная средняя общеобразовательная школа «Ромашка»,Западный административный округ,район Раменки,2,4,12
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Интеллектуал»,Западный административный округ,район Фили-Давыдково,50,59,60
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1151»,Зеленоградский административный округ,район Крюково,24,52,90
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1353 имени генерала Д.Ф. Алексеева»,Зеленоградский административный округ,район Матушкино,45,73,89
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2098 «Многопрофильный образовательный центр» имени Героя Советского Союза Л.М. Доватора»,Северный административный округ,район Западное Дегунино,59,138,197
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2100»,Северный административный округ,район Западное Дегунино,11,30,75
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1223»,Северный административный округ,район Коптево,51,70,122
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1474»,Северный административный округ,район Ховрино,78,148,268
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 141 имени Героя Советского Союза Рихарда Зорге»,Северный административный округ,Хорошёвский район,19,63,78
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа Глория»,Северо-Восточный административный округ,район Бибирево,74,105,175
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1416 «Лианозово»,Северо-Восточный административный округ,район Лианозово,34,85,117
Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Пенаты»,Северо-Восточный административный округ,район Отрадное,8,10,7
Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»,Северо-Восточный административный округ,район Ростокино,7,15,23
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1499 имени Героя Советского Союза Ивана Архиповича Докукина»,Северо-Восточный административный округ,район Ростокино,33,84,106
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Свиблово»,Северо-Восточный административный округ,район Свиблово,58,115,218
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1747»,Северо-Западный административный округ,район Митино,40,93,139
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный образовательный комплекс»,Северо-Западный административный округ,район Покровское-Стрешнево,4,36,13
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1286»,Северо-Западный административный округ,район Северное Тушино,47,90,136
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 138»,Северо-Западный административный округ,район Хорошёво-Мнёвники,31,77,109
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1231 имени В.Д. Поленова»,Центральный административный округ,район Арбат,58,121,218
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1512»,Восточный административный округ,район Вешняки,32,45,68
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 664»,Восточный административный округ,район Восточный,6,27,32
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1516»,Восточный административный округ,район Гольяново,28,46,76
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1373»,Восточный административный округ,район Ивановское,12,32,52
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1324»,Восточный административный округ,район Новогиреево,30,82,134
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1637»,Восточный административный округ,район Перово,17,40,53
Автономная некоммерческая организация средняя общеобразовательная школа «Академическая гимназия»,Восточный административный округ,район Сокольники,1,6,8
Общеобразовательное частное учреждение средняя общеобразовательная школа «Центр ЮССТ»,Западный административный округ,Можайский район,1,4,4
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1238»,Западный административный округ,район Ново-Переделкино,38,61,102
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1347»,Западный административный округ,район Солнцево,49,106,113
Государственное бюджетное общеобразовательное учреждение «Московская школа на Юго-Западе № 1543»,Западный административный округ,район Тропарёво-Никулино,84,87,100
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 14»,Западный административный округ,район Тропарёво-Никулино,18,55,55
Государственное бюджетное общеобразовательное учреждение города Москвы «Инженерно-техническая школа имени дважды Героя Советского Союза П.Р. Поповича»,Северный административный округ,район Аэропорт,11,49,89
Федеральное государственное казённое общеобразовательное учреждение «Московский кадетский корпус «Пансион воспитанниц Министерства обороны Российской Федерации»,Северный административный округ,район Беговой,79,100,87
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1384 имени А.А. Леманского»,Северный административный округ,район Сокол,8,23,36
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Тимирязевская»,Северный административный округ,Тимирязевский район,28,79,103
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 953»,Северо-Восточный административный округ,район Бибирево,26,84,111
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский колледж архитектуры и градостроительства»,Северо-Восточный административный округ,Лосиноостровский район,0,2,17
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1517»,Северо-Западный административный округ,район Хорошёво-Мнёвники,101,187,262
Государственное бюджетное общеобразовательное учреждение города Москвы «Немецкая школа № 1212»,Северо-Западный административный округ,район Щукино,17,30,45
Негосударственное образовательное частное учреждение средняя общеобразовательная школа «Ювенес»,Северо-Западный административный округ,район Хорошёво-Мнёвники,4,9,10
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2073»,Троицкий административный округ,поселение Вороновское,23,41,63
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2054»,Центральный административный округ,Мещанский район,97,198,267
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»,Центральный административный округ,Пресненский район,49,103,107
Частное учреждение общеобразовательная организация «Средняя общеобразовательная школа «Виктория»,Центральный административный округ,Пресненский район,1,6,3
Государственное бюджетное общеобразовательное учреждение города Москвы «Пятьдесят седьмая школа»,Центральный административный округ,район Хамовники,83,99,146
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1535»,Центральный административный округ,район Хамовники,316,339,292
Общеобразовательное частное учреждение «Пироговская школа»,Центральный административный округ,район Якиманка,6,11,7
Федеральное государственное казенное общеобразовательное учреждение «Московское президентское кадетское училище имени М.А. Шолохова войск национальной гвардии Российской Федерации»,Юго-Восточный административный округ,район Кузьминки,13,41,35
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 920»,Восточный административный округ,район Перово,22,42,62
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1584»,Западный административный округ,район Кунцево,49,83,120
