school,admarea,district,ege_good,ege_bad,oge_score
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 460 имени дважды Героев Советского Союза А.А. Головачёва и С.Ф. Шутова»,Юго-Восточный административный округ,район Люблино,40,81,118
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 15»,Юго-Западный административный округ,район Черёмушки,37,91,136
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1492»,Юго-Западный административный округ,район Южное Бутово,28,83,116
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1981»,Юго-Западный административный округ,район Южное Бутово,28,82,120
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1466 имени Надежды Рушевой»,Южный административный округ,район Царицыно,16,42,73
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1028»,Восточный административный округ,район Вешняки,27,56,81
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1269»,Восточный административный округ,район Перово,15,37,85
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1232 «На Кутузовском»,Западный административный округ,район Дорогомилово,24,57,50
"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж градостроительства, транспорта и технологий № 41»",Западный административный округ,район Кунцево,11,31,18
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 587»,Западный административный округ,Можайский район,11,23,36
Частное учреждение общеобразовательная организация средняя общеобразовательная школа «Росинка»,Западный административный округ,Можайский район,7,8,5
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1432»,Западный административный округ,район Ново-Переделкино,6,14,33
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1542»,Западный административный округ,район Солнцево,87,150,212
Государственное казенное общеобразовательное учреждение города Москвы «Московский морской кадетский корпус «Навигацкая школа»,Западный административный округ,район Фили-Давыдково,1,5,31
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2045»,Зеленоградский административный округ,район Крюково,25,60,118
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1912 имени Бауыржана Момышулы»,Зеленоградский административный округ,район Крюково,19,53,65
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1550»,Северный административный округ,район Беговой,55,97,91
Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 52»,Северный административный округ,район Беговой,0,2,0
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1592 имени Героя Российской Федерации Е.Н. Чернышёва»,Северный административный округ,Бескудниковский район,24,42,105
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»,Северный административный округ,Войковский район,10,29,28
Государственное бюджетное общеобразовательное учреждение города Москвы «Специальное учебно-воспитательное учреждение для обучающихся с девиантным (общественно опасным) поведением № 1»,Северный административный округ,район Коптево,0,1,0
